タイムスタンプ,ユーザー名,操作種別,テーブル名,影響行数,実行時間(ms),接続元IP,セッションID
2025-08-01 00:14:02,batch_user,SELECT,order_details,58,3107,192.168.3.195,SID86532
2025-08-01 00:23:56,batch_user,UPDATE,accounts,33,4072,192.168.5.201,SID82879
2025-08-01 02:28:28,app_user,INSERT,sales_transactions,36,1445,192.168.4.7,SID43719
2025-08-01 02:38:42,admin_user,UPDATE,accounts,22,2992,192.168.5.5,SID66912
2025-08-01 03:59:00,analyst_user,SELECT,product_master,741,2908,192.168.2.152,SID17281
2025-08-01 04:04:45,admin_user,SELECT,sales_transactions,676,860,192.168.8.13,SID37208
2025-08-01 04:25:29,app_user,SELECT,accounts,32,4983,192.168.5.233,SID72572
2025-08-01 05:23:16,admin_user,SELECT,orders,638,92,192.168.7.75,SID31084
2025-08-01 07:25:20,batch_user,SELECT,payments,110,1249,192.168.6.152,SID98559
2025-08-01 07:40:11,analyst_user,UPDATE,sales_transactions,18,32,192.168.10.233,SID54977
2025-08-01 09:12:01,report_user,SELECT,product_master,977,2306,192.168.2.131,SID65828
2025-08-01 10:46:12,app_user,SELECT,product_master,989,4024,192.168.7.38,SID20311
2025-08-01 10:49:59,app_user,SELECT,sales_transactions,222,2766,192.168.2.220,SID94556
2025-08-01 12:28:56,app_user,SELECT,departments,718,469,192.168.10.94,SID52173
2025-08-01 14:22:28,analyst_user,SELECT,inventory,11,1418,192.168.1.248,SID69852
2025-08-01 15:32:50,batch_user,SELECT,accounts,292,4019,192.168.7.85,SID51076
2025-08-01 15:39:13,report_user,SELECT,order_details,539,3550,192.168.5.142,SID65128
2025-08-01 17:43:07,report_user,INSERT,inventory,67,4238,192.168.9.249,SID35107
2025-08-01 19:18:58,batch_user,SELECT,departments,677,2462,192.168.8.231,SID50677
2025-08-01 20:22:36,analyst_user,SELECT,inventory,553,2536,192.168.3.196,SID77571
2025-08-01 20:57:25,admin_user,SELECT,employees,766,3081,192.168.3.237,SID83296
2025-08-01 21:24:42,report_user,INSERT,inventory,78,2797,192.168.8.130,SID88336
2025-08-01 21:28:39,analyst_user,SELECT,customer_master,101,3843,192.168.9.43,SID64529
2025-08-01 21:39:57,report_user,SELECT,product_master,429,1597,192.168.5.201,SID65666
2025-08-01 22:53:41,app_user,SELECT,customer_master,306,2672,192.168.7.47,SID96460
2025-08-02 00:03:25,analyst_user,SELECT,employees,871,1297,192.168.5.253,SID89943
2025-08-02 00:51:10,app_user,INSERT,payments,18,2608,192.168.3.107,SID19815
2025-08-02 00:59:05,analyst_user,SELECT,customer_master,751,3446,192.168.1.23,SID28465
2025-08-02 02:30:39,analyst_user,SELECT,product_master,861,738,192.168.10.237,SID66853
2025-08-02 02:52:32,analyst_user,SELECT,departments,41,2720,192.168.9.35,SID71733
