実行日,開始時刻,終了時刻,ジョブID,ジョブ名,所要時間(分),処理件数,ステータス,エラーメッセージ
2025-07-01,00:29:21,00:58:21,DAILY_SALES_SUMMARY,日次売上集計,29,37554,Success,
2025-07-01,01:00:38,01:31:38,DAILY_INVENTORY_UPDATE,日次在庫更新,31,42981,Success,
2025-07-01,02:05:21,02:25:21,DAILY_CUSTOMER_SYNC,日次顧客情報同期,20,5901,Success,
2025-07-01,03:00:11,03:51:11,DAILY_REPORT_GEN,日次レポート生成,51,33678,Success,
2025-07-01,00:50:36,00:53:36,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,329,Success,
2025-07-01,01:59:05,02:02:05,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,237,Success,
2025-07-01,02:03:55,02:05:55,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,366,Success,
2025-07-01,03:45:10,03:48:10,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,403,Success,
2025-07-01,04:36:03,04:40:03,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,477,Success,
2025-07-01,05:43:22,05:47:22,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,155,Success,
2025-07-01,06:01:20,06:03:20,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,278,Success,
2025-07-01,07:46:18,07:49:18,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,124,Success,
2025-07-01,08:47:38,08:49:38,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,212,Success,
2025-07-01,09:00:27,09:05:27,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,313,Success,
2025-07-01,10:59:40,11:02:40,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,217,Success,
2025-07-01,11:39:22,11:44:22,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,0,Failed,Timeout error
2025-07-01,12:39:50,12:42:50,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,167,Success,
2025-07-01,13:48:27,13:52:27,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,439,Success,
2025-07-01,14:00:18,14:04:18,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,433,Success,
2025-07-01,15:52:00,15:56:00,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,211,Success,
2025-07-01,16:19:06,16:23:06,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,130,Success,
2025-07-01,17:58:12,18:00:12,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,253,Success,
2025-07-01,18:59:19,19:02:19,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,293,Success,
2025-07-01,19:57:46,20:00:46,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,478,Success,
2025-07-01,20:06:20,20:10:20,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,470,Success,
2025-07-01,21:35:41,21:39:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,486,Success,
2025-07-01,22:33:42,22:35:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,285,Success,
2025-07-01,23:15:45,23:20:45,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,262,Success,
2025-07-02,00:35:55,00:57:55,DAILY_SALES_SUMMARY,日次売上集計,22,0,Failed,Database connection failed
2025-07-02,01:03:41,01:41:41,DAILY_INVENTORY_UPDATE,日次在庫更新,38,25949,Success,
2025-07-02,02:05:25,02:27:25,DAILY_CUSTOMER_SYNC,日次顧客情報同期,22,16099,Success,
2025-07-02,03:00:10,03:41:10,DAILY_REPORT_GEN,日次レポート生成,41,2042,Success,
2025-07-02,00:35:14,00:39:14,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,336,Success,
2025-07-02,01:01:58,01:05:58,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,232,Success,
2025-07-02,02:06:54,02:09:54,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,471,Success,
2025-07-02,03:27:55,03:31:55,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,292,Success,
