タイムスタンプ,ユーザー名,操作種別,テーブル名,影響行数,実行時間(ms),接続元IP,セッションID
2025-09-01 01:20:53,analyst_user,INSERT,product_master,94,271,192.168.9.240,SID43283
2025-09-01 03:14:02,app_user,SELECT,departments,149,4538,192.168.8.173,SID28338
2025-09-01 03:46:49,report_user,UPDATE,payments,7,2562,192.168.5.75,SID68535
2025-09-01 04:04:38,admin_user,SELECT,employees,272,220,192.168.5.109,SID24869
2025-09-01 06:37:15,admin_user,SELECT,payments,962,1950,192.168.9.217,SID58422
2025-09-01 09:11:55,analyst_user,UPDATE,sales_transactions,33,4958,192.168.6.136,SID34264
2025-09-01 09:19:51,app_user,SELECT,accounts,717,4129,192.168.5.133,SID88693
2025-09-01 10:31:24,admin_user,SELECT,customer_master,448,1229,192.168.3.215,SID72041
2025-09-01 13:10:09,analyst_user,UPDATE,departments,37,4894,192.168.3.213,SID68670
2025-09-01 14:57:54,admin_user,UPDATE,inventory,2,3902,192.168.4.209,SID58506
2025-09-01 15:16:47,admin_user,SELECT,payments,292,4749,192.168.8.121,SID69652
2025-09-01 15:56:27,admin_user,SELECT,employees,836,1584,192.168.9.197,SID57351
2025-09-01 16:26:25,batch_user,SELECT,orders,127,1948,192.168.2.123,SID17815
2025-09-01 16:38:20,analyst_user,SELECT,accounts,1000,1688,192.168.4.131,SID71775
2025-09-01 16:53:29,admin_user,UPDATE,employees,14,561,192.168.10.78,SID25171
2025-09-01 17:33:42,admin_user,DELETE,payments,7,1756,192.168.3.152,SID26602
2025-09-01 19:51:02,report_user,INSERT,order_details,24,20,192.168.5.191,SID71016
2025-09-01 20:32:06,batch_user,SELECT,payments,735,1421,192.168.4.28,SID68696
2025-09-01 20:42:44,batch_user,SELECT,employees,70,314,192.168.1.36,SID36066
2025-09-01 21:59:07,report_user,SELECT,order_details,171,3871,192.168.7.34,SID85342
2025-09-01 21:59:20,report_user,SELECT,customer_master,311,4267,192.168.8.31,SID79974
2025-09-01 23:39:18,batch_user,SELECT,order_details,33,1793,192.168.3.139,SID44846
2025-09-01 23:50:25,batch_user,SELECT,payments,300,881,192.168.5.36,SID79828
2025-09-02 00:41:12,app_user,INSERT,order_details,89,1736,192.168.6.211,SID70574
2025-09-02 04:48:12,batch_user,INSERT,accounts,37,1013,192.168.8.8,SID16038
2025-09-02 05:03:12,batch_user,SELECT,customer_master,9,4598,192.168.9.34,SID66052
2025-09-02 06:01:46,report_user,SELECT,inventory,301,2923,192.168.6.194,SID86975
2025-09-02 06:44:21,batch_user,SELECT,departments,395,2378,192.168.10.201,SID37794
2025-09-02 07:17:29,admin_user,SELECT,orders,341,828,192.168.4.213,SID97901
2025-09-02 07:28:04,batch_user,SELECT,product_master,396,1173,192.168.10.244,SID23268
2025-09-02 08:04:10,report_user,INSERT,order_details,32,3506,192.168.2.202,SID79566
2025-09-02 08:20:59,admin_user,INSERT,employees,80,4939,192.168.4.30,SID58043
2025-09-02 08:35:34,report_user,SELECT,employees,233,3015,192.168.10.204,SID62383
2025-09-02 08:45:16,batch_user,SELECT,accounts,831,3864,192.168.9.231,SID98363
2025-09-02 09:31:42,admin_user,SELECT,employees,566,3285,192.168.6.239,SID27053
2025-09-02 10:30:48,report_user,SELECT,customer_master,67,678,192.168.9.184,SID75707
2025-09-02 11:25:21,app_user,SELECT,employees,220,3641,192.168.2.249,SID21169
2025-09-02 13:18:57,app_user,SELECT,departments,866,4609,192.168.2.168,SID72868
2025-09-02 13:49:18,report_user,SELECT,employees,487,3877,192.168.3.223,SID51717
2025-09-02 13:59:56,batch_user,INSERT,employees,65,4675,192.168.8.47,SID16341
2025-09-02 15:51:26,admin_user,SELECT,product_master,605,1377,192.168.3.43,SID44668
2025-09-02 16:34:26,batch_user,INSERT,product_master,30,1581,192.168.1.221,SID81154
2025-09-02 16:39:45,analyst_user,UPDATE,inventory,37,4388,192.168.9.115,SID64745
2025-09-02 16:51:12,report_user,UPDATE,orders,44,2204,192.168.7.251,SID61978
2025-09-02 16:52:02,report_user,INSERT,orders,29,4358,192.168.3.115,SID83688
2025-09-02 17:43:35,report_user,SELECT,product_master,159,3207,192.168.9.220,SID36143
2025-09-02 20:47:50,analyst_user,SELECT,payments,457,1036,192.168.10.159,SID12582
2025-09-02 22:49:35,report_user,SELECT,accounts,769,3050,192.168.10.79,SID36249
2025-09-02 23:41:02,admin_user,SELECT,inventory,131,3987,192.168.5.91,SID23246
