バックアップ日,開始時刻,終了時刻,システム名,システム種別,サイズ(GB),所要時間(分),ステータス,バックアップファイル,エラーメッセージ
2025-07-01,02:06:25,02:36:25,prod-db01,PostgreSQL Database,247.12,30,Success,/backup/prod-db01/20250701_020625.bak,
2025-07-01,03:46:27,04:28:27,prod-db02,MySQL Database,274.93,42,Success,/backup/prod-db02/20250701_034627.bak,
2025-07-01,02:37:40,02:57:40,prod-app01,Application Server,149.71,20,Success,/backup/prod-app01/20250701_023740.bak,
2025-07-01,03:10:23,03:45:23,prod-app02,Application Server,144.22,35,Success,/backup/prod-app02/20250701_031023.bak,
2025-07-01,02:45:47,03:19:47,prod-web01,Web Server,52.33,34,Success,/backup/prod-web01/20250701_024547.bak,
2025-07-02,02:50:26,03:29:26,prod-db01,PostgreSQL Database,196.61,39,Success,/backup/prod-db01/20250702_025026.bak,
2025-07-02,03:19:40,03:52:40,prod-db02,MySQL Database,238.49,33,Success,/backup/prod-db02/20250702_031940.bak,
2025-07-02,02:55:10,03:27:10,prod-app01,Application Server,107.88,32,Success,/backup/prod-app01/20250702_025510.bak,
2025-07-02,02:51:59,03:07:59,prod-app02,Application Server,125.52,16,Success,/backup/prod-app02/20250702_025159.bak,
2025-07-02,02:51:45,03:31:45,prod-web01,Web Server,49.56,40,Failed,/backup/prod-web01/20250702_025145.bak,Database lock timeout
2025-07-03,02:25:29,02:55:29,prod-db01,PostgreSQL Database,156.51,30,Success,/backup/prod-db01/20250703_022529.bak,
2025-07-03,03:08:26,03:31:26,prod-db02,MySQL Database,249.23,23,Success,/backup/prod-db02/20250703_030826.bak,
2025-07-03,03:54:47,04:13:47,prod-app01,Application Server,132.92,19,Success,/backup/prod-app01/20250703_035447.bak,
2025-07-03,02:39:11,03:15:11,prod-app02,Application Server,131.34,36,Success,/backup/prod-app02/20250703_023911.bak,
2025-07-03,02:29:24,03:05:24,prod-web01,Web Server,54.46,36,Success,/backup/prod-web01/20250703_022924.bak,
2025-07-04,02:03:41,02:22:41,prod-db01,PostgreSQL Database,218.37,19,Success,/backup/prod-db01/20250704_020341.bak,
2025-07-04,02:31:20,02:57:20,prod-db02,MySQL Database,266.39,26,Success,/backup/prod-db02/20250704_023120.bak,
2025-07-04,02:39:18,03:23:18,prod-app01,Application Server,109.5,44,Success,/backup/prod-app01/20250704_023918.bak,
2025-07-04,03:23:15,03:45:15,prod-app02,Application Server,116.94,22,Success,/backup/prod-app02/20250704_032315.bak,
2025-07-04,02:19:22,02:34:22,prod-web01,Web Server,41.2,15,Success,/backup/prod-web01/20250704_021922.bak,
2025-07-05,03:08:50,03:26:50,prod-db01,PostgreSQL Database,241.87,18,Success,/backup/prod-db01/20250705_030850.bak,
2025-07-05,03:28:52,03:43:52,prod-db02,MySQL Database,217.12,15,Success,/backup/prod-db02/20250705_032852.bak,
2025-07-05,02:59:11,03:42:11,prod-app01,Application Server,141.08,43,Success,/backup/prod-app01/20250705_025911.bak,
2025-07-05,02:04:51,02:42:51,prod-app02,Application Server,155.51,38,Success,/backup/prod-app02/20250705_020451.bak,
2025-07-05,02:29:09,03:00:09,prod-web01,Web Server,32.85,31,Success,/backup/prod-web01/20250705_022909.bak,
2025-07-06,02:22:31,02:47:31,prod-db01,PostgreSQL Database,212.73,25,Success,/backup/prod-db01/20250706_022231.bak,
2025-07-06,02:02:02,02:31:02,prod-db02,MySQL Database,220.93,29,Success,/backup/prod-db02/20250706_020202.bak,
2025-07-06,02:15:47,02:34:47,prod-app01,Application Server,123.53,19,Success,/backup/prod-app01/20250706_021547.bak,
2025-07-06,02:44:52,03:16:52,prod-app02,Application Server,133.71,32,Success,/backup/prod-app02/20250706_024452.bak,
2025-07-06,02:15:31,02:36:31,prod-web01,Web Server,32.6,21,Success,/backup/prod-web01/20250706_021531.bak,
2025-07-07,03:57:53,04:33:53,prod-db01,PostgreSQL Database,222.83,36,Success,/backup/prod-db01/20250707_035753.bak,
2025-07-07,02:47:47,03:02:47,prod-db02,MySQL Database,260.78,15,Success,/backup/prod-db02/20250707_024747.bak,
2025-07-07,02:56:11,03:29:11,prod-app01,Application Server,113.08,33,Success,/backup/prod-app01/20250707_025611.bak,
2025-07-07,02:22:29,03:01:29,prod-app02,Application Server,93.39,39,Success,/backup/prod-app02/20250707_022229.bak,
2025-07-07,02:33:56,03:16:56,prod-web01,Web Server,59.17,43,Success,/backup/prod-web01/20250707_023356.bak,
2025-07-08,02:42:43,02:57:43,prod-db01,PostgreSQL Database,212.95,15,Success,/backup/prod-db01/20250708_024243.bak,
2025-07-08,02:38:10,03:14:10,prod-db02,MySQL Database,275.57,36,Success,/backup/prod-db02/20250708_023810.bak,
2025-07-08,02:12:47,02:27:47,prod-app01,Application Server,121.26,15,Success,/backup/prod-app01/20250708_021247.bak,
2025-07-08,02:34:23,03:14:23,prod-app02,Application Server,142.64,40,Success,/backup/prod-app02/20250708_023423.bak,
2025-07-08,02:09:53,02:32:53,prod-web01,Web Server,36.74,23,Success,/backup/prod-web01/20250708_020953.bak,
2025-07-09,03:04:15,03:40:15,prod-db01,PostgreSQL Database,239.71,36,Success,/backup/prod-db01/20250709_030415.bak,
2025-07-09,02:24:07,02:56:07,prod-db02,MySQL Database,206.89,32,Success,/backup/prod-db02/20250709_022407.bak,
2025-07-09,03:15:13,03:56:13,prod-app01,Application Server,92.5,41,Success,/backup/prod-app01/20250709_031513.bak,
2025-07-09,03:30:53,03:49:53,prod-app02,Application Server,104.44,19,Success,/backup/prod-app02/20250709_033053.bak,
2025-07-09,03:18:21,03:45:21,prod-web01,Web Server,45.31,27,Success,/backup/prod-web01/20250709_031821.bak,
2025-07-10,02:48:03,03:15:03,prod-db01,PostgreSQL Database,186.65,27,Success,/backup/prod-db01/20250710_024803.bak,
2025-07-10,03:08:57,03:36:57,prod-db02,MySQL Database,232.33,28,Success,/backup/prod-db02/20250710_030857.bak,
2025-07-10,02:49:46,03:23:46,prod-app01,Application Server,94.54,34,Success,/backup/prod-app01/20250710_024946.bak,
2025-07-10,02:54:30,03:11:30,prod-app02,Application Server,137.28,17,Success,/backup/prod-app02/20250710_025430.bak,
2025-07-10,02:12:49,02:51:49,prod-web01,Web Server,40.63,39,Success,/backup/prod-web01/20250710_021249.bak,
2025-07-11,02:40:27,03:11:27,prod-db01,PostgreSQL Database,246.9,31,Success,/backup/prod-db01/20250711_024027.bak,
2025-07-11,02:56:08,03:16:08,prod-db02,MySQL Database,242.42,20,Success,/backup/prod-db02/20250711_025608.bak,
2025-07-11,03:10:12,03:53:12,prod-app01,Application Server,132.02,43,Success,/backup/prod-app01/20250711_031012.bak,
2025-07-11,02:33:53,03:09:53,prod-app02,Application Server,120.74,36,Success,/backup/prod-app02/20250711_023353.bak,
2025-07-11,02:20:20,02:58:20,prod-web01,Web Server,32.73,38,Success,/backup/prod-web01/20250711_022020.bak,
2025-07-12,03:45:56,04:07:56,prod-db01,PostgreSQL Database,209.46,22,Success,/backup/prod-db01/20250712_034556.bak,
2025-07-12,02:20:37,02:58:37,prod-db02,MySQL Database,244.06,38,Success,/backup/prod-db02/20250712_022037.bak,
2025-07-12,03:01:50,03:37:50,prod-app01,Application Server,140.17,36,Success,/backup/prod-app01/20250712_030150.bak,
2025-07-12,03:10:13,03:50:13,prod-app02,Application Server,106.18,40,Success,/backup/prod-app02/20250712_031013.bak,
2025-07-12,02:41:45,03:11:45,prod-web01,Web Server,59.46,30,Success,/backup/prod-web01/20250712_024145.bak,
2025-07-13,02:46:27,03:22:27,prod-db01,PostgreSQL Database,223.21,36,Success,/backup/prod-db01/20250713_024627.bak,
2025-07-13,02:13:17,02:34:17,prod-db02,MySQL Database,209.71,21,Success,/backup/prod-db02/20250713_021317.bak,
2025-07-13,03:03:12,03:32:12,prod-app01,Application Server,110.11,29,Success,/backup/prod-app01/20250713_030312.bak,
2025-07-13,03:19:29,04:02:29,prod-app02,Application Server,111.32,43,Success,/backup/prod-app02/20250713_031929.bak,
2025-07-13,02:16:55,02:59:55,prod-web01,Web Server,45.64,43,Success,/backup/prod-web01/20250713_021655.bak,
2025-07-14,02:34:25,03:16:25,prod-db01,PostgreSQL Database,191.37,42,Success,/backup/prod-db01/20250714_023425.bak,
2025-07-14,02:46:55,03:25:55,prod-db02,MySQL Database,269.71,39,Success,/backup/prod-db02/20250714_024655.bak,
2025-07-14,03:06:48,03:30:48,prod-app01,Application Server,84.38,24,Success,/backup/prod-app01/20250714_030648.bak,
2025-07-14,03:02:09,03:33:09,prod-app02,Application Server,90.44,31,Success,/backup/prod-app02/20250714_030209.bak,
