タイムスタンプ,ユーザー名,操作種別,テーブル名,影響行数,実行時間(ms),接続元IP,セッションID
2025-06-01 00:33:26,analyst_user,INSERT,sales_transactions,18,4797,192.168.10.146,SID59534
2025-06-01 01:10:02,admin_user,SELECT,employees,351,3572,192.168.1.140,SID97032
2025-06-01 01:46:12,app_user,INSERT,customer_master,51,1414,192.168.3.124,SID17705
2025-06-01 10:34:05,app_user,SELECT,order_details,376,3694,192.168.8.62,SID89070
2025-06-01 11:51:13,app_user,DELETE,product_master,3,2751,192.168.9.185,SID69794
2025-06-01 11:52:32,report_user,SELECT,order_details,430,2044,192.168.2.106,SID13034
2025-06-01 12:51:29,analyst_user,DELETE,inventory,7,3806,192.168.9.144,SID95751
2025-06-01 13:12:47,admin_user,SELECT,customer_master,959,125,192.168.9.188,SID74755
2025-06-01 13:55:00,report_user,INSERT,sales_transactions,20,2299,192.168.10.214,SID51729
2025-06-01 14:43:09,admin_user,SELECT,employees,663,4568,192.168.4.169,SID41555
2025-06-01 18:09:45,app_user,SELECT,departments,145,1093,192.168.8.162,SID72793
2025-06-01 18:26:37,batch_user,DELETE,order_details,3,3208,192.168.7.201,SID36151
2025-06-01 18:30:36,admin_user,DELETE,customer_master,6,446,192.168.7.99,SID82781
2025-06-01 18:45:03,report_user,SELECT,product_master,332,2550,192.168.4.110,SID12360
2025-06-01 18:52:11,batch_user,SELECT,orders,676,1976,192.168.3.19,SID88989
2025-06-01 21:21:03,app_user,SELECT,employees,584,2449,192.168.6.107,SID86547
2025-06-01 21:28:30,analyst_user,SELECT,order_details,202,613,192.168.6.196,SID73582
2025-06-01 21:56:36,batch_user,SELECT,departments,763,3455,192.168.3.74,SID74754
2025-06-01 23:12:30,report_user,INSERT,employees,50,1769,192.168.10.211,SID31351
2025-06-02 00:27:20,report_user,UPDATE,customer_master,23,2864,192.168.6.48,SID96663
2025-06-02 00:34:26,analyst_user,SELECT,product_master,285,4453,192.168.7.217,SID34326
2025-06-02 01:24:21,report_user,SELECT,departments,942,841,192.168.3.244,SID97573
2025-06-02 01:31:39,app_user,SELECT,sales_transactions,934,2565,192.168.4.246,SID79739
2025-06-02 02:59:28,analyst_user,SELECT,departments,472,789,192.168.5.198,SID94092
2025-06-02 03:24:32,batch_user,SELECT,departments,405,3621,192.168.8.32,SID59643
2025-06-02 05:09:40,analyst_user,SELECT,departments,236,4245,192.168.9.200,SID63193
2025-06-02 05:39:55,app_user,SELECT,product_master,533,4355,192.168.2.165,SID99426
2025-06-02 06:04:35,admin_user,SELECT,accounts,618,3258,192.168.1.87,SID54824
2025-06-02 06:26:59,report_user,SELECT,product_master,18,1284,192.168.3.212,SID82181
2025-06-02 08:24:27,admin_user,UPDATE,payments,41,3046,192.168.9.75,SID56561
2025-06-02 09:32:24,batch_user,SELECT,product_master,809,2054,192.168.1.221,SID91342
2025-06-02 10:28:10,report_user,SELECT,order_details,201,3185,192.168.6.151,SID73406
2025-06-02 10:36:31,batch_user,SELECT,inventory,566,78,192.168.8.225,SID41977
2025-06-02 13:24:55,app_user,SELECT,employees,770,4516,192.168.5.96,SID37180
2025-06-02 13:26:01,admin_user,SELECT,customer_master,555,2529,192.168.5.205,SID86456
2025-06-02 15:10:00,app_user,SELECT,employees,479,3641,192.168.1.78,SID75179
2025-06-02 19:04:59,report_user,SELECT,employees,642,2133,192.168.10.147,SID67280
2025-06-02 19:11:09,batch_user,SELECT,order_details,59,1257,192.168.8.237,SID21110
