バックアップ日,開始時刻,終了時刻,システム名,システム種別,サイズ(GB),所要時間(分),ステータス,バックアップファイル,エラーメッセージ
2025-09-01,02:36:39,03:06:39,prod-db01,PostgreSQL Database,244.52,30,Success,/backup/prod-db01/20250901_023639.bak,
2025-09-01,03:27:10,04:12:10,prod-db02,MySQL Database,236.48,45,Success,/backup/prod-db02/20250901_032710.bak,
2025-09-01,03:44:17,04:29:17,prod-app01,Application Server,149.89,45,Success,/backup/prod-app01/20250901_034417.bak,
2025-09-01,02:46:11,03:21:11,prod-app02,Application Server,106.51,35,Success,/backup/prod-app02/20250901_024611.bak,
2025-09-01,02:36:52,03:19:52,prod-web01,Web Server,56.5,43,Success,/backup/prod-web01/20250901_023652.bak,
2025-09-02,03:52:50,04:19:50,prod-db01,PostgreSQL Database,191.84,27,Success,/backup/prod-db01/20250902_035250.bak,
2025-09-02,02:52:36,03:28:36,prod-db02,MySQL Database,220.61,36,Success,/backup/prod-db02/20250902_025236.bak,
2025-09-02,02:10:10,02:36:10,prod-app01,Application Server,108.71,26,Success,/backup/prod-app01/20250902_021010.bak,
2025-09-02,03:02:01,03:25:01,prod-app02,Application Server,137.74,23,Failed,/backup/prod-app02/20250902_030201.bak,Disk space insufficient
2025-09-02,03:34:16,03:57:16,prod-web01,Web Server,55.31,23,Success,/backup/prod-web01/20250902_033416.bak,
2025-09-03,03:48:41,04:04:41,prod-db01,PostgreSQL Database,194.3,16,Success,/backup/prod-db01/20250903_034841.bak,
2025-09-03,03:28:41,03:50:41,prod-db02,MySQL Database,272.14,22,Success,/backup/prod-db02/20250903_032841.bak,
2025-09-03,02:27:25,02:57:25,prod-app01,Application Server,120.37,30,Success,/backup/prod-app01/20250903_022725.bak,
2025-09-03,02:28:04,03:06:04,prod-app02,Application Server,97.87,38,Success,/backup/prod-app02/20250903_022804.bak,
2025-09-03,03:17:55,03:59:55,prod-web01,Web Server,30.19,42,Success,/backup/prod-web01/20250903_031755.bak,
2025-09-04,02:02:41,02:33:41,prod-db01,PostgreSQL Database,166.1,31,Success,/backup/prod-db01/20250904_020241.bak,
2025-09-04,03:31:38,03:50:38,prod-db02,MySQL Database,294.54,19,Success,/backup/prod-db02/20250904_033138.bak,
2025-09-04,02:16:52,02:52:52,prod-app01,Application Server,117.31,36,Success,/backup/prod-app01/20250904_021652.bak,
2025-09-04,02:58:55,03:39:55,prod-app02,Application Server,111.57,41,Success,/backup/prod-app02/20250904_025855.bak,
2025-09-04,02:21:11,03:04:11,prod-web01,Web Server,43.25,43,Success,/backup/prod-web01/20250904_022111.bak,
2025-09-05,03:12:39,03:48:39,prod-db01,PostgreSQL Database,195.17,36,Success,/backup/prod-db01/20250905_031239.bak,
2025-09-05,02:39:24,03:11:24,prod-db02,MySQL Database,247.88,32,Success,/backup/prod-db02/20250905_023924.bak,
2025-09-05,03:49:55,04:20:55,prod-app01,Application Server,89.16,31,Success,/backup/prod-app01/20250905_034955.bak,
2025-09-05,03:11:43,03:49:43,prod-app02,Application Server,155.07,38,Success,/backup/prod-app02/20250905_031143.bak,
2025-09-05,02:18:41,03:01:41,prod-web01,Web Server,45.69,43,Success,/backup/prod-web01/20250905_021841.bak,
2025-09-06,02:45:12,03:26:12,prod-db01,PostgreSQL Database,193.66,41,Success,/backup/prod-db01/20250906_024512.bak,
2025-09-06,02:45:05,03:18:05,prod-db02,MySQL Database,247.84,33,Success,/backup/prod-db02/20250906_024505.bak,
