バックアップ日,開始時刻,終了時刻,システム名,システム種別,サイズ(GB),所要時間(分),ステータス,バックアップファイル,エラーメッセージ
2025-05-01,02:10:51,02:52:51,prod-db01,PostgreSQL Database,249.26,42,Success,/backup/prod-db01/20250501_021051.bak,
2025-05-01,02:23:23,03:03:23,prod-db02,MySQL Database,221.09,40,Success,/backup/prod-db02/20250501_022323.bak,
2025-05-01,02:25:42,02:58:42,prod-app01,Application Server,115.97,33,Success,/backup/prod-app01/20250501_022542.bak,
2025-05-01,02:11:33,02:50:33,prod-app02,Application Server,96.43,39,Success,/backup/prod-app02/20250501_021133.bak,
2025-05-01,03:31:09,04:05:09,prod-web01,Web Server,39.07,34,Success,/backup/prod-web01/20250501_033109.bak,
2025-05-02,02:14:02,02:44:02,prod-db01,PostgreSQL Database,222.43,30,Success,/backup/prod-db01/20250502_021402.bak,
2025-05-02,03:02:46,03:37:46,prod-db02,MySQL Database,210.22,35,Success,/backup/prod-db02/20250502_030246.bak,
2025-05-02,03:39:07,04:19:07,prod-app01,Application Server,115.61,40,Success,/backup/prod-app01/20250502_033907.bak,
2025-05-02,02:21:58,03:06:58,prod-app02,Application Server,146.66,45,Success,/backup/prod-app02/20250502_022158.bak,
2025-05-02,02:54:34,03:38:34,prod-web01,Web Server,58.6,44,Success,/backup/prod-web01/20250502_025434.bak,
2025-05-03,03:48:00,04:29:00,prod-db01,PostgreSQL Database,195.23,41,Success,/backup/prod-db01/20250503_034800.bak,
2025-05-03,03:11:11,03:38:11,prod-db02,MySQL Database,207.24,27,Success,/backup/prod-db02/20250503_031111.bak,
2025-05-03,03:34:47,03:51:47,prod-app01,Application Server,130.29,17,Success,/backup/prod-app01/20250503_033447.bak,
2025-05-03,02:47:55,03:27:55,prod-app02,Application Server,156.5,40,Success,/backup/prod-app02/20250503_024755.bak,
2025-05-03,02:14:24,02:39:24,prod-web01,Web Server,44.31,25,Success,/backup/prod-web01/20250503_021424.bak,
2025-05-04,03:38:48,04:22:48,prod-db01,PostgreSQL Database,221.18,44,Failed,/backup/prod-db01/20250504_033848.bak,Disk space insufficient
2025-05-04,02:58:37,03:33:37,prod-db02,MySQL Database,235.0,35,Success,/backup/prod-db02/20250504_025837.bak,
2025-05-04,03:22:55,03:37:55,prod-app01,Application Server,87.99,15,Success,/backup/prod-app01/20250504_032255.bak,
2025-05-04,02:15:43,02:31:43,prod-app02,Application Server,158.32,16,Success,/backup/prod-app02/20250504_021543.bak,
2025-05-04,02:48:57,03:20:57,prod-web01,Web Server,48.57,32,Success,/backup/prod-web01/20250504_024857.bak,
2025-05-05,03:23:07,03:48:07,prod-db01,PostgreSQL Database,236.64,25,Success,/backup/prod-db01/20250505_032307.bak,
2025-05-05,02:47:23,03:13:23,prod-db02,MySQL Database,201.92,26,Success,/backup/prod-db02/20250505_024723.bak,
2025-05-05,02:00:36,02:38:36,prod-app01,Application Server,117.33,38,Success,/backup/prod-app01/20250505_020036.bak,
2025-05-05,02:23:31,02:50:31,prod-app02,Application Server,145.72,27,Success,/backup/prod-app02/20250505_022331.bak,
2025-05-05,02:35:04,03:05:04,prod-web01,Web Server,49.34,30,Success,/backup/prod-web01/20250505_023504.bak,
2025-05-06,02:04:29,02:43:29,prod-db01,PostgreSQL Database,188.1,39,Success,/backup/prod-db01/20250506_020429.bak,
2025-05-06,02:52:01,03:29:01,prod-db02,MySQL Database,231.91,37,Success,/backup/prod-db02/20250506_025201.bak,
2025-05-06,03:22:12,03:57:12,prod-app01,Application Server,129.51,35,Success,/backup/prod-app01/20250506_032212.bak,
2025-05-06,03:51:06,04:27:06,prod-app02,Application Server,126.03,36,Success,/backup/prod-app02/20250506_035106.bak,
2025-05-06,02:45:23,03:10:23,prod-web01,Web Server,45.03,25,Success,/backup/prod-web01/20250506_024523.bak,
2025-05-07,03:51:59,04:22:59,prod-db01,PostgreSQL Database,166.5,31,Success,/backup/prod-db01/20250507_035159.bak,
2025-05-07,03:36:54,04:16:54,prod-db02,MySQL Database,213.21,40,Success,/backup/prod-db02/20250507_033654.bak,
2025-05-07,02:06:23,02:24:23,prod-app01,Application Server,149.04,18,Success,/backup/prod-app01/20250507_020623.bak,
2025-05-07,02:09:24,02:54:24,prod-app02,Application Server,94.3,45,Success,/backup/prod-app02/20250507_020924.bak,
2025-05-07,02:26:22,03:00:22,prod-web01,Web Server,43.07,34,Success,/backup/prod-web01/20250507_022622.bak,
2025-05-08,02:58:25,03:31:25,prod-db01,PostgreSQL Database,174.99,33,Success,/backup/prod-db01/20250508_025825.bak,
2025-05-08,02:38:54,02:54:54,prod-db02,MySQL Database,211.28,16,Success,/backup/prod-db02/20250508_023854.bak,
2025-05-08,02:14:56,02:39:56,prod-app01,Application Server,99.76,25,Success,/backup/prod-app01/20250508_021456.bak,
2025-05-08,03:48:43,04:20:43,prod-app02,Application Server,129.58,32,Success,/backup/prod-app02/20250508_034843.bak,
2025-05-08,03:07:15,03:33:15,prod-web01,Web Server,46.15,26,Success,/backup/prod-web01/20250508_030715.bak,
