実行日,開始時刻,終了時刻,ジョブID,ジョブ名,所要時間(分),処理件数,ステータス,エラーメッセージ
2025-09-01,00:33:51,00:58:51,DAILY_SALES_SUMMARY,日次売上集計,25,43847,Success,
2025-09-01,01:01:29,01:36:29,DAILY_INVENTORY_UPDATE,日次在庫更新,35,28450,Success,
2025-09-01,02:00:16,02:20:16,DAILY_CUSTOMER_SYNC,日次顧客情報同期,20,6609,Success,
2025-09-01,03:01:50,03:57:50,DAILY_REPORT_GEN,日次レポート生成,56,48795,Success,
2025-09-01,04:05:12,05:48:12,WEEKLY_BACKUP_VERIFY,週次バックアップ検証,103,0,Failed,Data validation error
2025-09-01,00:49:21,00:52:21,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,336,Success,
2025-09-01,01:17:45,01:21:45,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,370,Success,
2025-09-01,02:52:42,02:57:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,159,Success,
2025-09-01,03:06:29,03:10:29,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,354,Success,
2025-09-01,04:14:30,04:18:30,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,0,Failed,Timeout error
2025-09-01,05:56:33,06:01:33,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,113,Success,
2025-09-01,06:24:22,06:29:22,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,149,Success,
2025-09-01,07:16:13,07:18:13,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,397,Success,
2025-09-01,08:32:36,08:34:36,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,273,Success,
2025-09-01,09:39:42,09:44:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,448,Success,
2025-09-01,10:00:01,10:02:01,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,132,Success,
2025-09-01,11:21:47,11:24:47,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,117,Success,
2025-09-01,12:29:42,12:32:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,195,Success,
2025-09-01,13:16:06,13:21:06,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,459,Success,
2025-09-01,14:04:57,14:07:57,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,278,Success,
2025-09-01,15:50:50,15:55:50,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,416,Success,
2025-09-01,16:54:48,16:59:48,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,274,Success,
2025-09-01,17:22:38,17:25:38,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,473,Success,
2025-09-01,18:39:42,18:43:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,131,Success,
2025-09-01,19:05:32,19:08:32,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,365,Success,
2025-09-01,20:01:29,20:03:29,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,387,Success,
2025-09-01,21:22:08,21:24:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,189,Success,
2025-09-01,22:34:05,22:37:05,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,329,Success,
2025-09-01,23:21:28,23:26:28,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,289,Success,
2025-09-02,00:33:06,00:50:06,DAILY_SALES_SUMMARY,日次売上集計,17,10027,Success,
2025-09-02,01:00:22,01:38:22,DAILY_INVENTORY_UPDATE,日次在庫更新,38,17056,Success,
2025-09-02,02:02:02,02:26:02,DAILY_CUSTOMER_SYNC,日次顧客情報同期,24,6200,Success,
2025-09-02,03:00:10,03:38:10,DAILY_REPORT_GEN,日次レポート生成,38,1108,Success,
2025-09-02,00:52:32,00:56:32,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,295,Success,
2025-09-02,01:31:25,01:33:25,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,326,Success,
2025-09-02,02:19:42,02:23:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,263,Success,
2025-09-02,03:23:04,03:28:04,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,416,Success,
2025-09-02,04:27:08,04:30:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,414,Success,
2025-09-02,05:38:08,05:40:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,382,Success,
2025-09-02,06:46:14,06:51:14,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,267,Success,
2025-09-02,07:02:21,07:05:21,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,352,Success,
2025-09-02,08:22:39,08:26:39,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,333,Success,
2025-09-02,09:16:25,09:21:25,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,441,Success,
2025-09-02,10:31:41,10:36:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,409,Success,
2025-09-02,11:17:12,11:21:12,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,380,Success,
2025-09-02,12:56:51,13:00:51,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,294,Success,
2025-09-02,13:02:04,13:04:04,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,305,Success,
2025-09-02,14:50:38,14:54:38,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,370,Success,
2025-09-02,15:13:18,15:18:18,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,342,Success,
2025-09-02,16:34:28,16:37:28,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,481,Success,
2025-09-02,17:46:36,17:49:36,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,300,Success,
2025-09-02,18:46:52,18:48:52,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,273,Success,
2025-09-02,19:07:19,19:11:19,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,369,Success,
2025-09-02,20:32:18,20:34:18,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,306,Success,
