実行日,開始時刻,終了時刻,ジョブID,ジョブ名,所要時間(分),処理件数,ステータス,エラーメッセージ
2025-06-01,00:32:13,01:01:13,DAILY_SALES_SUMMARY,日次売上集計,29,28609,Success,
2025-06-01,01:00:51,01:38:51,DAILY_INVENTORY_UPDATE,日次在庫更新,38,25285,Success,
2025-06-01,02:00:35,02:25:35,DAILY_CUSTOMER_SYNC,日次顧客情報同期,25,29085,Success,
2025-06-01,03:00:35,03:52:35,DAILY_REPORT_GEN,日次レポート生成,52,47399,Success,
2025-06-01,00:38:16,00:41:16,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,136,Success,
2025-06-01,01:16:39,01:19:39,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,352,Success,
2025-06-01,02:20:34,02:22:34,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,179,Success,
2025-06-01,03:45:23,03:49:23,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,298,Success,
2025-06-01,04:28:18,04:32:18,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,452,Success,
2025-06-01,05:44:51,05:47:51,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,321,Success,
2025-06-01,06:22:07,06:25:07,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,486,Success,
2025-06-01,07:58:42,08:01:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,302,Success,
2025-06-01,08:14:53,08:17:53,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,140,Success,
2025-06-01,09:45:35,09:47:35,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,344,Success,
2025-06-01,10:23:38,10:27:38,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,279,Success,
2025-06-01,11:36:08,11:39:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,163,Success,
2025-06-01,12:57:56,12:59:56,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,137,Success,
2025-06-01,13:47:52,13:50:52,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,294,Success,
2025-06-01,14:11:31,14:14:31,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,469,Success,
2025-06-01,15:02:36,15:07:36,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,288,Success,
2025-06-01,16:34:17,16:36:17,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,343,Success,
2025-06-01,17:23:06,17:25:06,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,199,Success,
2025-06-01,18:44:36,18:49:36,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,207,Success,
2025-06-01,19:40:41,19:43:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,474,Success,
2025-06-01,20:49:27,20:51:27,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,405,Success,
2025-06-01,21:23:04,21:25:04,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,149,Success,
2025-06-01,22:24:47,22:28:47,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,481,Success,
2025-06-01,23:44:47,23:48:47,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,481,Success,
2025-06-02,00:29:23,00:47:23,DAILY_SALES_SUMMARY,日次売上集計,18,5211,Success,
2025-06-02,01:00:58,01:37:58,DAILY_INVENTORY_UPDATE,日次在庫更新,37,25326,Success,
2025-06-02,02:03:40,02:26:40,DAILY_CUSTOMER_SYNC,日次顧客情報同期,23,42506,Success,
2025-06-02,03:00:09,03:34:09,DAILY_REPORT_GEN,日次レポート生成,34,47329,Success,
2025-06-02,04:02:08,05:18:08,WEEKLY_BACKUP_VERIFY,週次バックアップ検証,76,14060,Success,
2025-06-02,00:17:46,00:19:46,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,319,Success,
2025-06-02,01:19:26,01:22:26,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,283,Success,
2025-06-02,02:09:36,02:13:36,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,472,Success,
2025-06-02,03:43:05,03:45:05,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,272,Success,
2025-06-02,04:03:08,04:08:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,205,Success,
2025-06-02,05:24:19,05:28:19,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,175,Success,
2025-06-02,06:05:34,06:09:34,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,376,Success,
2025-06-02,07:43:35,07:48:35,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,498,Success,
2025-06-02,08:41:29,08:44:29,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,344,Success,
2025-06-02,09:37:29,09:39:29,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,145,Success,
2025-06-02,10:47:01,10:50:01,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,116,Success,
2025-06-02,11:53:37,11:56:37,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,108,Success,
2025-06-02,12:35:20,12:39:20,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,377,Success,
2025-06-02,13:08:46,13:11:46,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,245,Success,
2025-06-02,14:00:41,14:05:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,203,Success,
2025-06-02,15:04:44,15:07:44,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,386,Success,
2025-06-02,16:17:17,16:21:17,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,301,Success,
2025-06-02,17:28:43,17:32:43,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,275,Success,
2025-06-02,18:05:38,18:10:38,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,487,Success,
2025-06-02,19:01:28,19:03:28,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,397,Success,
2025-06-02,20:33:26,20:37:26,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,157,Success,
2025-06-02,21:05:37,21:07:37,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,312,Success,
2025-06-02,22:35:12,22:40:12,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,352,Success,
2025-06-02,23:04:35,23:06:35,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,400,Success,
2025-06-03,00:32:49,00:49:49,DAILY_SALES_SUMMARY,日次売上集計,17,27482,Success,
2025-06-03,01:03:45,01:23:45,DAILY_INVENTORY_UPDATE,日次在庫更新,20,44264,Success,
2025-06-03,02:00:36,02:10:36,DAILY_CUSTOMER_SYNC,日次顧客情報同期,10,30196,Success,
2025-06-03,03:03:12,03:54:12,DAILY_REPORT_GEN,日次レポート生成,51,25808,Success,
2025-06-03,00:57:17,00:59:17,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,321,Success,
2025-06-03,01:21:41,01:24:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,178,Success,
2025-06-03,02:58:49,03:00:49,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,262,Success,
2025-06-03,03:08:35,03:10:35,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,173,Success,
2025-06-03,04:34:39,04:37:39,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,471,Success,
2025-06-03,05:38:44,05:40:44,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,278,Success,
2025-06-03,06:02:45,06:07:45,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,358,Success,
2025-06-03,07:17:47,07:19:47,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,475,Success,
2025-06-03,08:52:25,08:55:25,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,374,Success,
2025-06-03,09:41:26,09:43:26,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,0,Failed,Timeout error
2025-06-03,10:35:05,10:40:05,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,246,Success,
2025-06-03,11:48:24,11:53:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,356,Success,
2025-06-03,12:33:56,12:35:56,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,398,Success,
2025-06-03,13:19:38,13:21:38,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,180,Success,
2025-06-03,14:45:10,14:47:10,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,110,Success,
2025-06-03,15:30:13,15:35:13,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,221,Success,
2025-06-03,16:22:54,16:25:54,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,253,Success,
2025-06-03,17:36:01,17:41:01,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,285,Success,
2025-06-03,18:34:05,18:38:05,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,418,Success,
2025-06-03,19:05:53,19:09:53,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,156,Success,
2025-06-03,20:29:33,20:33:33,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,322,Success,
2025-06-03,21:56:41,22:00:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,308,Success,
2025-06-03,22:42:03,22:46:03,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,155,Success,
2025-06-03,23:55:15,23:57:15,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,128,Success,
2025-06-04,00:31:08,00:56:08,DAILY_SALES_SUMMARY,日次売上集計,25,15785,Success,
2025-06-04,01:00:18,01:32:18,DAILY_INVENTORY_UPDATE,日次在庫更新,32,10029,Success,
2025-06-04,02:00:16,02:19:16,DAILY_CUSTOMER_SYNC,日次顧客情報同期,19,27446,Success,
2025-06-04,03:00:11,04:00:11,DAILY_REPORT_GEN,日次レポート生成,60,31142,Success,
2025-06-04,00:05:12,00:08:12,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,103,Success,
2025-06-04,01:56:05,01:59:05,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,116,Success,
2025-06-04,02:26:42,02:31:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,473,Success,
2025-06-04,03:58:48,04:01:48,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,446,Success,
2025-06-04,04:57:59,05:00:59,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,144,Success,
2025-06-04,05:42:42,05:46:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,480,Success,
2025-06-04,06:49:45,06:52:45,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,191,Success,
2025-06-04,07:04:24,07:07:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,250,Success,
2025-06-04,08:28:48,08:33:48,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,240,Success,
2025-06-04,09:30:24,09:33:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,458,Success,
2025-06-04,10:21:04,10:25:04,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,357,Success,
2025-06-04,11:45:43,11:48:43,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,255,Success,
2025-06-04,12:21:41,12:24:41,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,149,Success,
2025-06-04,13:20:11,13:24:11,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,346,Success,
2025-06-04,14:26:09,14:30:09,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,121,Success,
2025-06-04,15:13:03,15:18:03,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,257,Success,
2025-06-04,16:39:07,16:41:07,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,140,Success,
2025-06-04,17:42:22,17:47:22,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,476,Success,
2025-06-04,18:39:15,18:41:15,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,165,Success,
2025-06-04,19:40:10,19:42:10,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,436,Success,
2025-06-04,20:55:08,20:57:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,404,Success,
2025-06-04,21:23:08,21:27:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,122,Success,
2025-06-04,22:39:05,22:44:05,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,236,Success,
2025-06-04,23:45:21,23:47:21,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,178,Success,
2025-06-05,00:25:56,00:43:56,DAILY_SALES_SUMMARY,日次売上集計,18,1457,Success,
2025-06-05,01:05:09,01:36:09,DAILY_INVENTORY_UPDATE,日次在庫更新,31,41247,Success,
2025-06-05,02:00:20,02:19:20,DAILY_CUSTOMER_SYNC,日次顧客情報同期,19,22911,Success,
2025-06-05,03:05:28,03:36:28,DAILY_REPORT_GEN,日次レポート生成,31,33814,Success,
2025-06-05,00:29:15,00:31:15,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,374,Success,
2025-06-05,01:32:30,01:35:30,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,125,Success,
2025-06-05,02:55:42,02:59:42,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,375,Success,
2025-06-05,03:46:40,03:48:40,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,445,Success,
2025-06-05,04:26:33,04:30:33,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,496,Success,
2025-06-05,05:33:26,05:37:26,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,134,Success,
2025-06-05,06:23:51,06:25:51,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,354,Success,
2025-06-05,07:38:02,07:40:02,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,317,Success,
2025-06-05,08:25:01,08:28:01,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,256,Success,
2025-06-05,09:18:55,09:20:55,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,110,Success,
2025-06-05,10:10:08,10:12:08,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,142,Success,
2025-06-05,11:34:44,11:37:44,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,159,Success,
2025-06-05,12:23:28,12:27:28,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,362,Success,
2025-06-05,13:12:30,13:14:30,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,307,Success,
2025-06-05,14:39:17,14:41:17,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,164,Success,
2025-06-05,15:16:17,15:21:17,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,490,Success,
2025-06-05,16:01:48,16:04:48,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,480,Success,
2025-06-05,17:11:24,17:13:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,253,Success,
2025-06-05,18:17:37,18:19:37,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,114,Success,
2025-06-05,19:09:06,19:13:06,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,334,Success,
2025-06-05,20:35:26,20:37:26,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,400,Success,
2025-06-05,21:05:25,21:10:25,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,334,Success,
2025-06-05,22:33:55,22:37:55,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,464,Success,
2025-06-05,23:37:55,23:39:55,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,329,Success,
2025-06-06,00:33:21,01:01:21,DAILY_SALES_SUMMARY,日次売上集計,28,14910,Success,
2025-06-06,01:01:18,01:30:18,DAILY_INVENTORY_UPDATE,日次在庫更新,29,10121,Success,
2025-06-06,02:00:52,02:11:52,DAILY_CUSTOMER_SYNC,日次顧客情報同期,11,27346,Success,
2025-06-06,03:00:07,03:54:07,DAILY_REPORT_GEN,日次レポート生成,54,21878,Success,
2025-06-06,00:12:31,00:14:31,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,466,Success,
2025-06-06,01:49:07,01:54:07,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,402,Success,
2025-06-06,02:01:55,02:03:55,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,491,Success,
2025-06-06,03:01:37,03:06:37,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,311,Success,
2025-06-06,04:46:12,04:50:12,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,492,Success,
2025-06-06,05:45:48,05:47:48,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,361,Success,
2025-06-06,06:01:16,06:03:16,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,362,Success,
2025-06-06,07:03:31,07:06:31,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,179,Success,
2025-06-06,08:26:34,08:30:34,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,136,Success,
2025-06-06,09:19:06,09:22:06,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,185,Success,
2025-06-06,10:02:54,10:04:54,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,305,Success,
2025-06-06,11:40:24,11:43:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,350,Success,
2025-06-06,12:20:33,12:23:33,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,174,Success,
2025-06-06,13:04:14,13:08:14,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,260,Success,
2025-06-06,14:07:17,14:09:17,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,293,Success,
2025-06-06,15:21:19,15:23:19,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,2,265,Success,
2025-06-06,16:48:10,16:52:10,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,416,Success,
2025-06-06,17:37:24,17:41:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,454,Success,
2025-06-06,18:30:24,18:35:24,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,308,Success,
2025-06-06,19:56:28,20:01:28,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,5,364,Success,
2025-06-06,20:59:20,21:02:20,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,3,395,Success,
2025-06-06,21:28:26,21:32:26,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,284,Success,
2025-06-06,22:30:16,22:34:16,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,345,Success,
2025-06-06,23:12:13,23:16:13,HOURLY_LOG_ARCHIVE,時間ごとログアーカイブ,4,238,Success,
2025-06-07,00:28:37,00:43:37,DAILY_SALES_SUMMARY,日次売上集計,15,1046,Success,
2025-06-07,01:05:29,01:25:29,DAILY_INVENTORY_UPDATE,日次在庫更新,20,0,Failed,Timeout error
